"Top 1000 values of CMMAC_split","Top 1000 values of RemoteMac_split","Last value of RadioConditions_split"
"d8:9c:8e:00:30:16","64:67:72:8F:59:0D",FAIR
"d8:9c:8e:00:30:1b","F8:D0:0E:D3:98:FC",FAIR
"d8:9c:8e:00:30:34","D4:E2:CB:DC:0D:F0",FAIR
"d8:9c:8e:00:30:43","A8:70:5D:48:C5:23",POOR
"d8:9c:8e:00:30:a2","AC:4C:A5:3B:60:DA",FAIR
"d8:9c:8e:00:30:ac","08:7E:64:FD:FB:E7",FAIR
"d8:9c:8e:00:30:e3","1C:9E:CC:21:AB:2C",POOR
"d8:9c:8e:00:30:e8","40:75:C3:46:47:74",FAIR
"d8:9c:8e:00:30:f2","70:13:01:06:16:F0",FAIR
"d8:9c:8e:00:31:01","1C:9E:CC:21:B0:D4",FAIR
"d8:9c:8e:00:31:0b","80:DA:C2:89:3B:A4",GOOD
"d8:9c:8e:00:31:1f","94:04:E3:AB:82:F0",FAIR
"d8:9c:8e:00:31:29","1C:9E:CC:21:B7:6C",POOR
"d8:9c:8e:00:31:4c","64:67:72:8F:60:29",POOR
"d8:9c:8e:00:31:5b","1C:9E:CC:18:5B:66",POOR
"d8:9c:8e:00:31:60","70:13:01:64:DA:EC",POOR
"d8:9c:8e:00:31:6a","40:75:C3:4F:C8:24",POOR
"d8:9c:8e:00:31:79","80:DA:C2:24:11:38",FAIR
"d8:9c:8e:00:31:7e","B8:A5:35:9E:A2:96",FAIR
"d8:9c:8e:00:31:9c","40:75:C3:D8:44:DA",GOOD
"d8:9c:8e:00:31:a6","3C:2D:9E:4B:89:7A",FAIR
"d8:9c:8e:00:31:b0","AC:DB:48:F4:17:02",FAIR
"d8:9c:8e:00:31:ba","64:67:72:8F:6D:03",POOR
"d8:9c:8e:00:31:c4","F8:5E:42:F4:98:44",FAIR
"d8:9c:8e:00:31:dd","AC:4C:A5:AE:F4:08",POOR
"d8:9c:8e:00:31:e7","1C:9E:CC:21:BB:FC",GOOD
"d8:9c:8e:00:31:ec","3C:82:C0:F9:71:54",GOOD
"d8:9c:8e:00:31:fb","AC:4C:A5:AE:C0:B8",FAIR
"d8:9c:8e:00:32:14","1C:9E:CC:21:C0:E4",POOR
"d8:9c:8e:00:32:23","F8:5E:42:4D:F3:A9",EXCELLENT
